docker exec demoattach jcmd 1 GC.class_histogram
1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         19153        1084416  [B (java.base@11.0.8)
   2:         18070         433680  java.lang.String (java.base@11.0.8)
   3:          3022         361976  java.lang.Class (java.base@11.0.8)
   4:          6892         327312  [Ljava.lang.Object; (java.base@11.0.8)
   5:          6105         195360  java.util.HashMap$Node (java.base@11.0.8)
   6:          4274         136768  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.8)
   7:          1414         129640  [Ljava.util.HashMap$Node; (java.base@11.0.8)
   8:          1303         114664  java.lang.reflect.Method (java.base@11.0.8)
   9:          3348         107136  java.lang.invoke.LambdaForm$Name (java.base@11.0.8)
  10:          2409          96360  java.util.LinkedHashMap$Entry (java.base@11.0.8)
  11:          1401          67248  java.lang.invoke.MemberName (java.base@11.0.8)
  12:          2584          62016  java.util.Collections$SingletonList (java.base@11.0.8)
  13:          2265          59616  [Ljava.lang.Class; (java.base@11.0.8)
  14:           999          50888  [I (java.base@11.0.8)
  15:           956          45888  java.util.HashMap (java.base@11.0.8)
  16:          1413          45216  jdk.jfr.AnnotationElement (jdk.jfr@11.0.8)
  17:           125          45040  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.8)
  18:          1131          44280  [Ljava.lang.String; (java.base@11.0.8)
  19:            42          35536  [C (java.base@11.0.8)
  20:          1415          33960  java.util.ArrayList (java.base@11.0.8)
  21:           603          33768  java.util.LinkedHashMap (java.base@11.0.8)
  22:           833          33320  java.lang.invoke.MethodType (java.base@11.0.8)
  23:           396          28992  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.8)
  24:           416          28288  [Ljava.lang.ref.SoftReference; (java.base@11.0.8)
  25:           838          26816  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.8)
  26:          1095          26280  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@11.0.8)
  27:           395          25280  java.lang.Class$ReflectionData (java.base@11.0.8)
  28:           307          24560  java.lang.reflect.Constructor (java.base@11.0.8)
  29:           591          23640  java.lang.ref.SoftReference (java.base@11.0.8)
  30:           974          23376  java.lang.invoke.ResolvedMethodName (java.base@11.0.8)
  31:           299          21528  java.lang.reflect.Field (java.base@11.0.8)
  32:           639          20448  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.8)
  33:           598          19136  jdk.jfr.ValueDescriptor (jdk.jfr@11.0.8)
  34:           391          18768  java.lang.invoke.LambdaForm (java.base@11.0.8)
  35:           359          14360  java.lang.invoke.DirectMethodHandle$Accessor (java.base@11.0.8)
  36:           242          13552  java.lang.invoke.LambdaFormEditor$Transform (java.base@11.0.8)
  37:           239          13384  java.lang.invoke.MethodTypeForm (java.base@11.0.8)
  38:           395          12640  java.lang.invoke.DirectMethodHandle (java.base@11.0.8)
  39:           136          11968  jdk.jfr.internal.PlatformEventType (jdk.jfr@11.0.8)
  40:           274          10960  [Ljava.util.HashSet; (java.base@11.0.8)
  41:           171          10944  java.util.concurrent.ConcurrentHashMap (java.base@11.0.8)
  42:           341          10912  jdk.internal.math.FDBigInteger (java.base@11.0.8)
  43:           260          10904  [Ljava.lang.reflect.Method; (java.base@11.0.8)
  44:           444          10656  java.lang.Long (java.base@11.0.8)
  45:           390           9360  java.lang.module.ModuleDescriptor$Exports (java.base@11.0.8)
  46:           388           9312  java.util.Collections$UnmodifiableRandomAccessList (java.base@11.0.8)
  47:           274           8768  jdk.jfr.SettingDescriptor (jdk.jfr@11.0.8)
  48:           479           7664  java.util.HashSet (java.base@11.0.8)
  49:           313           7512  sun.reflect.annotation.AnnotationInvocationHandler (java.base@11.0.8)
  50:            18           6768  java.lang.Thread (java.base@11.0.8)
  51:           164           6560  java.util.TreeMap$Entry (java.base@11.0.8)
  52:           188           6016  java.lang.module.ModuleDescriptor$Requires (java.base@11.0.8)
  53:           250           6000  java.util.ImmutableCollections$Set12 (java.base@11.0.8)
  54:           249           5976  javax.management.ImmutableDescriptor (java.management@11.0.8)
  55:            94           5888  [Ljava.lang.invoke.MethodHandle; (java.base@11.0.8)
  56:            71           5680  java.net.URI (java.base@11.0.8)
  57:           237           5608  [Ljava.lang.reflect.Constructor; (java.base@11.0.8)
