docker exec demoattach jcmd 1 GC.class_histogram
1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         18729        1071464  [B (java.base@11.0.8)
   2:         17771         426504  java.lang.String (java.base@11.0.8)
   3:          2814         338568  java.lang.Class (java.base@11.0.8)
   4:          4208         244696  [Ljava.lang.Object; (java.base@11.0.8)
   5:          5844         187008  java.util.HashMap$Node (java.base@11.0.8)
   6:          4243         135776  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.8)
   7:          1259         112464  [Ljava.util.HashMap$Node; (java.base@11.0.8)
   8:          1623          64920  java.util.LinkedHashMap$Entry (java.base@11.0.8)
   9:           706          62128  java.lang.reflect.Method (java.base@11.0.8)
  10:          2584          62016  java.util.Collections$SingletonList (java.base@11.0.8)
  11:          1195          57360  java.lang.invoke.MemberName (java.base@11.0.8)
  12:           984          50824  [I (java.base@11.0.8)
  13:           953          45744  java.util.HashMap (java.base@11.0.8)
  14:          1413          45216  jdk.jfr.AnnotationElement (jdk.jfr@11.0.8)
  15:           122          44800  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.8)
  16:          1231          36840  [Ljava.lang.Class; (java.base@11.0.8)
  17:            40          35496  [C (java.base@11.0.8)
  18:          1416          33984  java.util.ArrayList (java.base@11.0.8)
  19:           812          32480  java.lang.invoke.MethodType (java.base@11.0.8)
  20:           845          31944  [Ljava.lang.String; (java.base@11.0.8)
  21:          1095          26280  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@11.0.8)
  22:           816          26112  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.8)
  23:           352          23936  [Ljava.lang.ref.SoftReference; (java.base@11.0.8)
  24:           422          23632  java.util.LinkedHashMap (java.base@11.0.8)
  25:           737          23584  java.lang.invoke.LambdaForm$Name (java.base@11.0.8)
  26:           581          23240  java.lang.ref.SoftReference (java.base@11.0.8)
  27:           623          19936  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.8)
  28:           598          19136  jdk.jfr.ValueDescriptor (jdk.jfr@11.0.8)
  29:           769          18456  java.lang.invoke.ResolvedMethodName (java.base@11.0.8)
  30:           359          14360  java.lang.invoke.DirectMethodHandle$Accessor (java.base@11.0.8)
  31:           405          12960  java.lang.invoke.DirectMethodHandle (java.base@11.0.8)
  32:           136          11968  jdk.jfr.internal.PlatformEventType (jdk.jfr@11.0.8)
  33:           207          11592  java.lang.invoke.MethodTypeForm (java.base@11.0.8)
  34:           274          10960  [Ljava.util.HashSet; (java.base@11.0.8)
  35:           341          10912  jdk.internal.math.FDBigInteger (java.base@11.0.8)
  36:           440          10560  java.lang.Long (java.base@11.0.8)
  37:           156           9984  java.util.concurrent.ConcurrentHashMap (java.base@11.0.8)
  38:           390           9360  java.lang.module.ModuleDescriptor$Exports (java.base@11.0.8)
  39:           389           9336  java.util.Collections$UnmodifiableRandomAccessList (java.base@11.0.8)
  40:           274           8768  jdk.jfr.SettingDescriptor (jdk.jfr@11.0.8)
  41:           151           8648  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.8)
  42:           104           8320  java.lang.reflect.Constructor (java.base@11.0.8)
  43:           479           7664  java.util.HashSet (java.base@11.0.8)
  44:           146           7008  java.lang.invoke.LambdaForm (java.base@11.0.8)
  45:            18           6768  java.lang.Thread (java.base@11.0.8)
  46:           164           6560  java.util.TreeMap$Entry (java.base@11.0.8)
  47:           188           6016  java.lang.module.ModuleDescriptor$Requires (java.base@11.0.8)
  48:           250           6000  java.util.ImmutableCollections$Set12 (java.base@11.0.8)
  49:           249           5976  javax.management.ImmutableDescriptor (java.management@11.0.8)
  50:            94           5888  [Ljava.lang.invoke.MethodHandle; (java.base@11.0.8)
  51:            71           5680  java.net.URI (java.base@11.0.8)
  52:           136           5440  jdk.jfr.internal.settings.EnabledSetting (jdk.jfr@11.0.8)
  53:           132           5280  java.util.WeakHashMap$Entry (java.base@11.0.8)
  54:           323           5168  java.lang.Object (java.base@11.0.8)
  55:           210           5040  sun.reflect.annotation.AnnotationInvocationHandler (java.base@11.0.8)
  56:            25           4920  [J (java.base@11.0.8)
  57:           153           4896  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@11.0.8)
  58:           295           4720  java.lang.Integer (java.base@11.0.8)
  59:           295           4720  java.util.HashMap$KeySet (java.base@11.0.8)
  60:            73           4672  java.lang.module.ModuleDescriptor (java.base@11.0.8)
  61:           136           4352  jdk.jfr.internal.EventControl (jdk.jfr@11.0.8)
  62:           136           4352  jdk.jfr.internal.SettingsManager$InternalSetting (jdk.jfr@11.0.8)
  63:            87           4176  jdk.jfr.internal.Type (jdk.jfr@11.0.8)
  64:            65           4160  java.net.URL (java.base@11.0.8)
  65:             1           4112  [Ljava.nio.ByteBuffer; (java.base@11.0.8)
  66:           256           4096  java.lang.Byte (java.base@11.0.8)
  67:           168           4032  jdk.jfr.internal.settings.BooleanValue (jdk.jfr@11.0.8)
  68:           125           4000  java.lang.invoke.BoundMethodHandle$Species_L (java.base@11.0.8)
  69:           123           3936  java.lang.ref.WeakReference (java.base@11.0.8)
  70:            70           3920  jdk.internal.module.ModuleReferenceImpl (java.base@11.0.8)
  71:           160           3840  java.util.ImmutableCollections$SetN (java.base@11.0.8)
  72:           151           3624  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@11.0.8)
  73:            90           3600  java.math.BigInteger (java.base@11.0.8)
  74:            36           3488  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.8)
  75:           164           3288  [Lcom.sun.jmx.mbeanserver.MXBeanMapping; (java.management@11.0.8)
  76:            68           3264  java.util.logging.LogManager$LoggerWeakRef (java.logging@11.0.8)
  77:           136           3264  jdk.jfr.EventType (jdk.jfr@11.0.8)
  78:            58           3248  java.lang.Module (java.base@11.0.8)
  79:            80           3200  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@11.0.8)
  80:            80           3200  java.io.ObjectStreamField (java.base@11.0.8)
  81:            49           3136  javax.management.openmbean.OpenMBeanAttributeInfoSupport (java.management@11.0.8)
  82:           182           2912  java.util.HashMap$EntrySet (java.base@11.0.8)
  83:            54           2824  [Ljavax.management.MBeanAttributeInfo; (java.management@11.0.8)
  84:           114           2736  java.util.ImmutableCollections$List12 (java.base@11.0.8)
  85:            53           2544  javax.management.MBeanInfo (java.management@11.0.8)
  86:            61           2440  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@11.0.8)
  87:            50           2400  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.8)
  88:            41           2296  java.security.Provider$Service (java.base@11.0.8)
  89:            95           2280  java.security.Provider$ServiceKey (java.base@11.0.8)
  90:            57           2280  jdk.jfr.internal.settings.PeriodSetting (jdk.jfr@11.0.8)
  91:           138           2208  java.util.ImmutableCollections$ListN (java.base@11.0.8)
  92:            91           2184  java.util.concurrent.CopyOnWriteArrayList (java.base@11.0.8)
  93:            68           2176  java.util.logging.LogManager$LogNode (java.logging@11.0.8)
  94:            44           2112  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@11.0.8)
  95:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@11.0.8)
  96:            65           2080  sun.nio.fs.UnixPath (java.base@11.0.8)
  97:           128           2048  java.lang.Character (java.base@11.0.8)
  98:            32           2048  java.lang.invoke.BoundMethodHandle$Species_LLLLLLIIL (java.base@11.0.8)
  99:            64           2048  java.lang.ref.ReferenceQueue (java.base@11.0.8)
