jmap -histo 7

 num     #instances         #bytes  class name
----------------------------------------------
   1:          5739         449528  [C
   2:          1587         178512  java.lang.Class
   3:           474         160856  [B
   4:          5696         136704  java.lang.String
   5:          2444          93840  [Ljava.lang.Object;
   6:          1560          87360  java.lang.invoke.MemberName
   7:          1627          52064  java.util.concurrent.ConcurrentHashMap$Node
   8:          1173          37536  java.lang.invoke.LambdaForm$Name
   9:           736          29440  java.lang.invoke.BoundMethodHandle$Species_LL
  10:           468          28080  [Ljava.lang.ref.SoftReference;
  11:           857          27424  java.lang.invoke.DirectMethodHandle
  12:           683          27320  java.lang.invoke.MethodType
  13:           901          26328  [Ljava.lang.Class;
  14:           753          24096  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  15:           550          22000  java.lang.ref.SoftReference
  16:           297          21384  java.lang.reflect.Field
  17:           228          20064  java.lang.reflect.Method
  18:           513          19712  [I
  19:           397          19056  java.lang.invoke.LambdaForm
  20:           581          18592  jdk.nashorn.internal.runtime.PropertyHashMap$Element
  21:           402          17080  [Ljava.lang.invoke.LambdaForm$Name;
  22:           466          14912  java.util.HashMap$Node
  23:           263          14728  java.lang.invoke.MethodTypeForm
  24:            50          13984  [Ljdk.nashorn.internal.runtime.PropertyHashMap$Element;
  25:           366          13656  [Ljava.lang.invoke.MethodHandle;
  26:            19          12272  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  27:           210          11760  jdk.nashorn.internal.runtime.AccessorProperty
  28:           407           9768  java.lang.invoke.LambdaForm$NamedFunction
  29:           227           9080  jdk.nashorn.internal.runtime.CompiledFunction
  30:           502           8032  java.lang.Object
  31:           137           7672  jdk.nashorn.internal.runtime.ScriptFunction
  32:           113           7232  jdk.nashorn.internal.runtime.PropertyMap
  33:            53           6528  [Ljava.util.HashMap$Node;
  34:           125           6496  [Ljava.lang.String;
  35:           256           6144  java.lang.Long
  36:            73           6032  [Ljava.util.WeakHashMap$Entry;
  37:           102           5712  java.lang.invoke.LambdaFormEditor$Transform
  38:           230           5520  java.util.LinkedList$Node
  39:           149           4768  java.util.LinkedList
  40:           147           4704  jdk.nashorn.internal.runtime.FinalScriptFunctionData
  41:            76           4256  java.lang.Class$ReflectionData
  42:           265           4240  java.lang.Integer
  43:           256           4096  java.lang.Byte
  44:           256           4096  java.lang.Short
  45:           102           4080  java.util.WeakHashMap$Entry
  46:           123           3936  java.util.Hashtable$Entry
  47:            66           3696  jdk.nashorn.internal.runtime.SpillProperty
  48:            44           3520  java.lang.reflect.Constructor
  49:            84           3360  java.util.TreeMap$Entry
  50:           103           3296  jdk.nashorn.internal.runtime.PropertyHashMap
  51:            66           3168  java.util.WeakHashMap
  52:             8           3008  java.lang.Thread
  53:            62           2976  java.util.HashMap
  54:            83           2656  java.lang.ref.ReferenceQueue
  55:            46           2576  jdk.nashorn.internal.runtime.options.OptionTemplate
  56:            61           2440  java.lang.invoke.BoundMethodHandle$Species_L3
  57:            35           2240  java.net.URL
  58:             1           2064  [Ljdk.nashorn.internal.runtime.SpillProperty$Accessors;
  59:           128           2048  java.lang.Character
  60:            42           2016  java.lang.invoke.BoundMethodHandle$Species_LLIL
  61:            39           1872  sun.util.locale.LocaleObjectCache$CacheEntry
  62:            45           1800  java.lang.invoke.BoundMethodHandle$Species_LI
  63:            44           1760  java.lang.invoke.DirectMethodHandle$Accessor
  64:            33           1728  [Ljava.lang.reflect.Field;
  65:            42           1680  java.lang.invoke.BoundMethodHandle$Species_LLI
  66:            69           1656  jdk.nashorn.internal.runtime.Specialization
  67:            41           1640  java.lang.invoke.BoundMethodHandle$Species_LIL
  68:            41           1640  jdk.nashorn.internal.runtime.SpillProperty$Accessors
  69:            51           1632  java.lang.invoke.BoundMethodHandle$Species_L
  70:             1           1568  [[B
  71:            45           1440  jdk.nashorn.internal.codegen.CompilerConstants
  72:            85           1360  java.lang.ref.ReferenceQueue$Lock
  73:            21           1344  java.util.concurrent.ConcurrentHashMap
