
 Version: 2.0
 Chunks: 3
 Start: 2021-04-01 11:17:48 (UTC)
 Duration: 30 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.ModuleExport                         2397         35409
 jdk.BooleanFlag                          1950         67596
 jdk.ActiveSetting                        1893         63621
 jdk.NativeMethodSample                   1424         21360
 jdk.JavaMonitorWait                      1365         40950
 jdk.NativeLibrary                         906         60252
 jdk.LongFlag                              687         25938
 jdk.UnsignedLongFlag                      546         20949
 jdk.ModuleRequire                         456          6384
 jdk.ClassLoaderStatistics                 246          7290
 jdk.ThreadAllocationStatistics            185          2712
 jdk.ThreadPark                             83          3428
 jdk.StringFlag                             78          2550
 jdk.InitialSystemProperty                  72          4317
 jdk.InitialEnvironmentVariable             48          4620
 jdk.DoubleFlag                             39          1815
 jdk.ThreadCPULoad                          30           630
 jdk.CPULoad                                29           696
 jdk.JavaThreadStatistics                   29           464
 jdk.ClassLoadingStatistics                 29           435
 jdk.CompilerStatistics                     29           957
 jdk.ExceptionStatistics                    29           464
 jdk.UnsignedIntFlag                        24           876
 jdk.CodeCacheStatistics                    18           666
 jdk.CheckPoint                             17        126779
 jdk.IntFlag                                 9           312
 jdk.PhysicalMemory                          6           132
 jdk.ThreadDump                              6        172127
 jdk.CodeSweeperStatistics                   6           156
 jdk.GCConfiguration                         6           174
 jdk.ThreadEnd                               5            70
 jdk.ThreadStart                             4            64
 jdk.Metadata                                3        223482
 jdk.ActiveRecording                         3           198
 jdk.JVMInformation                          3          2742
 jdk.OSInformation                           3          1158
 jdk.VirtualizationInformation               3            96
 jdk.CPUInformation                          3          4101
 jdk.CPUTimeStampCounter                     3            72
 jdk.CompilerConfiguration                   3            42
 jdk.CodeCacheConfiguration                  3           150
 jdk.CodeSweeperConfiguration                3            42
 jdk.GCSurvivorConfiguration                 3            42
 jdk.GCTLABConfiguration                     3            48
 jdk.GCHeapConfiguration                     3            87
 jdk.YoungGenerationConfiguration            3            63
 jdk.SystemProcess                           2          1210
 jdk.ThreadContextSwitchRate                 2            32
 jdk.ExecutionSample                         2            30
 jdk.JavaMonitorEnter                        1            28
 jdk.JavaErrorThrow                          0             0
 jdk.ThreadSleep                             0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.BiasedLockRevocation                    0             0
 jdk.BiasedLockSelfRevocation                0             0
 jdk.BiasedLockClassRevocation               0             0
 jdk.SecurityPropertyModification            0             0
 jdk.ReservedStackActivation                 0             0
 jdk.ClassLoad                               0             0
 jdk.ClassDefine                             0             0
 jdk.TLSHandshake                            0             0
 jdk.ClassUnload                             0             0
 jdk.IntFlagChanged                          0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.X509Certificate                         0             0
 jdk.LongFlagChanged                         0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.X509Validation                          0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.StringFlagChanged                       0             0
 jdk.GCHeapSummary                           0             0
 jdk.MetaspaceSummary                        0             0
 jdk.MetaspaceGCThreshold                    0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceOOM                            0             0
 jdk.MetaspaceChunkFreeListSummary           0             0
 jdk.PSHeapSummary                           0             0
 jdk.G1HeapSummary                           0             0
 jdk.GarbageCollection                       0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.YoungGarbageCollection                  0             0
 jdk.OldGarbageCollection                    0             0
 jdk.G1GarbageCollection                     0             0
 jdk.G1MMU                                   0             0
 jdk.EvacuationInformation                   0             0
 jdk.GCReferenceStatistics                   0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.G1EvacuationYoungStatistics             0             0
 jdk.G1EvacuationOldStatistics               0             0
 jdk.G1BasicIHOP                             0             0
 jdk.G1AdaptiveIHOP                          0             0
 jdk.PromoteObjectInNewPLAB                  0             0
 jdk.PromoteObjectOutsidePLAB                0             0
 jdk.PromotionFailed                         0             0
 jdk.EvacuationFailed                        0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.GCPhasePause                            0             0
 jdk.GCPhasePauseLevel1                      0             0
 jdk.GCPhasePauseLevel2                      0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.GCPhaseConcurrent                       0             0
 jdk.AllocationRequiringGC                   0             0
 jdk.TenuringDistribution                    0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.Compilation                             0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilationFailure                      0             0
 jdk.CompilerInlining                        0             0
 jdk.SweepCodeCache                          0             0
 jdk.CodeCacheFull                           0             0
 jdk.SafepointBegin                          0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.SafepointWaitBlocked                    0             0
 jdk.SafepointCleanup                        0             0
 jdk.SafepointCleanupTask                    0             0
 jdk.SafepointEnd                            0             0
 jdk.ExecuteVMOperation                      0             0
 jdk.Shutdown                                0             0
 jdk.ObjectAllocationInNewTLAB               0             0
 jdk.ObjectAllocationOutsideTLAB             0             0
 jdk.OldObjectSample                         0             0
 jdk.DumpReason                              0             0
 jdk.DataLoss                                0             0
 jdk.NetworkUtilization                      0             0
 jdk.ObjectCount                             0             0
 jdk.G1HeapRegionInformation                 0             0
 jdk.ZPageAllocation                         0             0
 jdk.ZThreadPhase                            0             0
 jdk.ZStatisticsCounter                      0             0
 jdk.ZStatisticsSampler                      0             0
 jdk.ShenandoahHeapRegionStateChange         0             0
 jdk.ShenandoahHeapRegionInformation         0             0
 jdk.FileForce                               0             0
 jdk.FileRead                                0             0
 jdk.FileWrite                               0             0
 jdk.SocketRead                              0             0
 jdk.SocketWrite                             0             0
 jdk.JavaExceptionThrow                      0             0
